"path","top_level","category","subsystem","size_bytes","last_write_utc","extension","action","rationale","risk","evidence","owner","notes","bucket"
"client/node_modules/@babel/compat-data/LICENSE","client","frontend","unclassified","1106","2026-03-02T20:59:47Z","","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/native-modules.js","client","frontend","unclassified","136","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/overlapping-plugins.js","client","frontend","unclassified","141","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/package.json","client","frontend","unclassified","1192","2026-03-02T20:59:48Z",".json","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/plugin-bugfixes.js","client","frontend","unclassified","137","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/plugins.js","client","frontend","unclassified","129","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/compat-data/README.md","client","frontend","unclassified","307","2026-03-02T20:59:47Z",".md","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/cache-contexts.js","client","frontend","unclassified","67","2026-03-02T20:59:47Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/cache-contexts.js.map","client","frontend","unclassified","897","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/caching.js","client","frontend","unclassified","7290","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/caching.js.map","client","frontend","unclassified","20635","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/config-chain.js","client","frontend","unclassified","18644","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/config-chain.js.map","client","frontend","unclassified","47322","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/config-descriptors.js","client","frontend","unclassified","6856","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/config-descriptors.js.map","client","frontend","unclassified","20122","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/configuration.js","client","frontend","unclassified","10887","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/configuration.js.map","client","frontend","unclassified","22612","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/import.cjs","client","frontend","unclassified","121","2026-03-02T20:59:48Z",".cjs","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/import.cjs.map","client","frontend","unclassified","519","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/index.js","client","frontend","unclassified","1809","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/index.js.map","client","frontend","unclassified","1209","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/index-browser.js","client","frontend","unclassified","1568","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/index-browser.js.map","client","frontend","unclassified","4607","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/module-types.js","client","frontend","unclassified","7144","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/module-types.js.map","client","frontend","unclassified","17470","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/package.js","client","frontend","unclassified","1624","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/package.js.map","client","frontend","unclassified","3757","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/plugins.js","client","frontend","unclassified","7613","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/plugins.js.map","client","frontend","unclassified","17357","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/types.js","client","frontend","unclassified","58","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/types.js.map","client","frontend","unclassified","1132","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/utils.js","client","frontend","unclassified","895","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/files/utils.js.map","client","frontend","unclassified","2088","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/full.js","client","frontend","unclassified","11245","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/full.js.map","client","frontend","unclassified","27988","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/helpers/config-api.js","client","frontend","unclassified","2807","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/helpers/config-api.js.map","client","frontend","unclassified","8765","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/helpers/deep-array.js","client","frontend","unclassified","497","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/helpers/deep-array.js.map","client","frontend","unclassified","1515","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/helpers/environment.js","client","frontend","unclassified","276","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/helpers/environment.js.map","client","frontend","unclassified","488","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/index.js","client","frontend","unclassified","3339","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/index.js.map","client","frontend","unclassified","8154","2026-03-02T20:59:48Z",".map","TBD","","","","","","generated_dependency_vendor_local"
"client/node_modules/@babel/core/lib/config/item.js","client","frontend","unclassified","1836","2026-03-02T20:59:48Z",".js","TBD","","","","","","generated_dependency_vendor_local"
